Identifiant;Espèce;Age; Hauteur (m) ; Diamètre (cm) ; Volume (m3) ;Santé (/10);;;;;;
AR001;Pin;38; 49,40  ; 90,00  ; 6,28  ;9;;;;;;
AR002;érable;19; 15,20  ; 31,92  ; 0,24  ;8;;;;;;
AR003;Hêtre;28; 23,80  ; 49,98  ; 0,93  ;8;;;;;;
AR004;Chêne;26; 19,50  ; 29,25  ; 0,26  ;2;;;;;;
AR005;Chêne;49; 36,75  ; 77,18  ; 3,44  ;7;;;;;;
AR006;érable;32; 25,60  ; 46,08  ; 0,85  ;5;;;;;;
AR007;érable;12; 9,60  ; 14,40  ; 0,03  ;5;;;;;;
AR008;Hêtre;56; 47,60  ; 80,92  ; 4,89  ;1;;;;;;
AR009;érable;45; 36,00  ; 61,20  ; 2,12  ;9;;;;;;
AR010;Hêtre;27; 22,95  ; 48,20  ; 0,84  ;7;;;;;;
AR011;érable;51; 40,80  ; 69,36  ; 3,08  ;6;;;;;;
AR012;Pin;15; 19,50  ; 29,25  ; 0,26  ;1;;;;;;
AR013;Pin;73; 63,00  ; 94,50  ; 8,83  ;2;;;;;;
AR014;Bouleau;74; 65,00  ; 97,50  ; 9,70  ;8;;;;;;
AR015;érable;10; 8,00  ; 12,80  ; 0,02  ;7;;;;;;
AR016;Pin;22; 28,60  ; 48,62  ; 1,06  ;5;;;;;;
AR017;Sapin;49; 66,00  ; 99,00  ; 10,16  ;3;;;;;;
AR018;Hêtre;39; 33,15  ; 59,67  ; 1,85  ;1;;;;;;
AR019;Hêtre;34; 28,90  ; 49,13  ; 1,10  ;5;;;;;;
AR020;Sapin;32; 46,40  ; 78,88  ; 4,53  ;9;;;;;;
AR021;Hêtre;61; 51,85  ; 108,89  ; 9,65  ;8;;;;;;
AR022;Chêne;11; 8,25  ; 15,68  ; 0,03  ;4;;;;;;
AR023;Sapin;41; 59,45  ; 94,00  ; 8,25  ;7;;;;;;
AR024;Chêne;10; 7,50  ; 12,00  ; 0,02  ;7;;;;;;
AR025;Hêtre;57; 48,45  ; 96,90  ; 7,14  ;9;;;;;;
AR026;érable;54; 43,20  ; 82,08  ; 4,57  ;6;;;;;;
AR027;Chêne;29; 21,75  ; 36,98  ; 0,47  ;3;;;;;;
AR028;Pin;39; 50,70  ; 76,05  ; 4,60  ;4;;;;;;
AR029;érable;15; 12,00  ; 25,20  ; 0,12  ;2;;;;;;
AR030;Pin;21; 27,30  ; 54,60  ; 1,28  ;4;;;;;;
AR031;Hêtre;48; 40,80  ; 85,68  ; 4,70  ;8;;;;;;
AR032;Hêtre;22; 18,70  ; 29,92  ; 0,26  ;1;;;;;;
AR033;Sapin;22; 31,90  ; 60,61  ; 1,84  ;7;;;;;;
AR034;Hêtre;40; 34,00  ; 68,00  ; 2,47  ;4;;;;;;
AR035;Chêne;18; 13,50  ; 20,25  ; 0,09  ;7;;;;;;
AR036;Hêtre;25; 21,25  ; 36,13  ; 0,44  ;3;;;;;;
AR037;érable;72; 57,60  ; 92,16  ; 7,68  ;8;;;;;;
AR038;Chêne;19; 14,25  ; 25,65  ; 0,15  ;8;;;;;;
AR039;Hêtre;19; 16,15  ; 24,23  ; 0,15  ;9;;;;;;
AR040;érable;26; 20,80  ; 43,68  ; 0,62  ;9;;;;;;
AR041;Hêtre;76; 63,00  ; 94,50  ; 8,83  ;6;;;;;;
AR042;Chêne;66; 49,50  ; 84,15  ; 5,50  ;1;;;;;;
AR043;Chêne;34; 25,50  ; 43,35  ; 0,75  ;3;;;;;;
AR044;érable;47; 37,60  ; 67,68  ; 2,70  ;3;;;;;;
AR045;érable;65; 52,00  ; 109,20  ; 9,74  ;6;;;;;;
AR046;Hêtre;23; 19,55  ; 35,19  ; 0,38  ;2;;;;;;
AR047;érable;72; 57,60  ; 107,00  ; 10,35  ;1;;;;;;
AR048;Hêtre;79; 60,00  ; 114,00  ; 12,24  ;7;;;;;;
AR049;Pin;18; 23,40  ; 46,80  ; 0,80  ;9;;;;;;
AR050;Pin;70; 68,00  ; 106,00  ; 12,00  ;6;;;;;;
